section,metric,tier,V1_n,V1_mean,V1_stdev,V1_min,V1_max,V2_n,V2_mean,V2_stdev,V2_min,V2_max,difference_v2_minus_v1,percent_difference,winner,sign_test_p,sign_test_unanimous,seed,arm,value,nnz,input_type,V1_lift,V2_lift,V1_decode_validity,V2_decode_validity
per_seed,valid_mean_distance,,,,,,,,,,,,,,,,,0,V1_GatedUT_Te2,63.4736,,,,,,
per_seed,valid_decode_failure_rate,,,,,,,,,,,,,,,,,0,V1_GatedUT_Te2,0.0,,,,,,
per_seed,samples_per_second,,,,,,,,,,,,,,,,,0,V1_GatedUT_Te2,369.079,,,,,,
per_seed,tokens_per_second,,,,,,,,,,,,,,,,,0,V1_GatedUT_Te2,1107.2,,,,,,
per_seed,elapsed_seconds,,,,,,,,,,,,,,,,,0,V1_GatedUT_Te2,344.6953458786011,,,,,,
per_seed,rss_mb,,,,,,,,,,,,,,,,,0,V1_GatedUT_Te2,766.046875,,,,,,
per_seed,parameter_count,,,,,,,,,,,,,,,,,0,V1_GatedUT_Te2,4131200,,,,,,
per_seed,valid_loss,,,,,,,,,,,,,,,,,42,V1_GatedUT_Te2,1.843136,,,,,,
per_seed,valid_acc_tau,,,,,,,,,,,,,,,,,42,V1_GatedUT_Te2,0.189453,,,,,,
per_seed,valid_exact_accuracy,,,,,,,,,,,,,,,,,42,V1_GatedUT_Te2,0.003418,,,,,,
per_seed,valid_token_accuracy,,,,,,,,,,,,,,,,,42,V1_GatedUT_Te2,0.44515,,,,,,
per_seed,valid_greedy_token_accuracy,,,,,,,,,,,,,,,,,42,V1_GatedUT_Te2,0.443197,,,,,,
per_seed,valid_perfect_accuracy,,,,,,,,,,,,,,,,,42,V1_GatedUT_Te2,0.003418,,,,,,
per_seed,valid_mean_distance,,,,,,,,,,,,,,,,,42,V1_GatedUT_Te2,71.0361,,,,,,
per_seed,valid_decode_failure_rate,,,,,,,,,,,,,,,,,42,V1_GatedUT_Te2,0.0,,,,,,
per_seed,samples_per_second,,,,,,,,,,,,,,,,,42,V1_GatedUT_Te2,344.001,,,,,,
per_seed,tokens_per_second,,,,,,,,,,,,,,,,,42,V1_GatedUT_Te2,1032.0,,,,,,
per_seed,elapsed_seconds,,,,,,,,,,,,,,,,,42,V1_GatedUT_Te2,370.4971249103546,,,,,,
per_seed,rss_mb,,,,,,,,,,,,,,,,,42,V1_GatedUT_Te2,836.671875,,,,,,
per_seed,parameter_count,,,,,,,,,,,,,,,,,42,V1_GatedUT_Te2,4131200,,,,,,
per_seed,valid_loss,,,,,,,,,,,,,,,,,123,V1_GatedUT_Te2,1.842193,,,,,,
per_seed,valid_acc_tau,,,,,,,,,,,,,,,,,123,V1_GatedUT_Te2,0.124023,,,,,,
per_seed,valid_exact_accuracy,,,,,,,,,,,,,,,,,123,V1_GatedUT_Te2,0.001953,,,,,,
per_seed,valid_token_accuracy,,,,,,,,,,,,,,,,,123,V1_GatedUT_Te2,0.446777,,,,,,
per_seed,valid_greedy_token_accuracy,,,,,,,,,,,,,,,,,123,V1_GatedUT_Te2,0.44222,,,,,,
per_seed,valid_perfect_accuracy,,,,,,,,,,,,,,,,,123,V1_GatedUT_Te2,0.001953,,,,,,
per_seed,valid_mean_distance,,,,,,,,,,,,,,,,,123,V1_GatedUT_Te2,119.7432,,,,,,
per_seed,valid_decode_failure_rate,,,,,,,,,,,,,,,,,123,V1_GatedUT_Te2,0.0,,,,,,
per_seed,samples_per_second,,,,,,,,,,,,,,,,,123,V1_GatedUT_Te2,344.041,,,,,,
per_seed,tokens_per_second,,,,,,,,,,,,,,,,,123,V1_GatedUT_Te2,1032.1,,,,,,
per_seed,elapsed_seconds,,,,,,,,,,,,,,,,,123,V1_GatedUT_Te2,369.3485789299011,,,,,,
per_seed,rss_mb,,,,,,,,,,,,,,,,,123,V1_GatedUT_Te2,601.171875,,,,,,
per_seed,parameter_count,,,,,,,,,,,,,,,,,123,V1_GatedUT_Te2,4131200,,,,,,
per_seed,valid_loss,,,,,,,,,,,,,,,,,456,V1_GatedUT_Te2,1.779645,,,,,,
per_seed,valid_acc_tau,,,,,,,,,,,,,,,,,456,V1_GatedUT_Te2,0.344238,,,,,,
per_seed,valid_exact_accuracy,,,,,,,,,,,,,,,,,456,V1_GatedUT_Te2,0.010742,,,,,,
per_seed,valid_token_accuracy,,,,,,,,,,,,,,,,,456,V1_GatedUT_Te2,0.511719,,,,,,
per_seed,valid_greedy_token_accuracy,,,,,,,,,,,,,,,,,456,V1_GatedUT_Te2,0.475749,,,,,,
per_seed,valid_perfect_accuracy,,,,,,,,,,,,,,,,,456,V1_GatedUT_Te2,0.010742,,,,,,
per_seed,valid_mean_distance,,,,,,,,,,,,,,,,,456,V1_GatedUT_Te2,65.6011,,,,,,
per_seed,valid_decode_failure_rate,,,,,,,,,,,,,,,,,456,V1_GatedUT_Te2,0.0,,,,,,
per_seed,samples_per_second,,,,,,,,,,,,,,,,,456,V1_GatedUT_Te2,375.706,,,,,,
per_seed,tokens_per_second,,,,,,,,,,,,,,,,,456,V1_GatedUT_Te2,1127.1,,,,,,
per_seed,elapsed_seconds,,,,,,,,,,,,,,,,,456,V1_GatedUT_Te2,338.26287627220154,,,,,,
per_seed,rss_mb,,,,,,,,,,,,,,,,,456,V1_GatedUT_Te2,612.59375,,,,,,
per_seed,parameter_count,,,,,,,,,,,,,,,,,456,V1_GatedUT_Te2,4131200,,,,,,
per_seed,valid_loss,,,,,,,,,,,,,,,,,789,V1_GatedUT_Te2,1.84195,,,,,,
per_seed,valid_acc_tau,,,,,,,,,,,,,,,,,789,V1_GatedUT_Te2,0.103516,,,,,,
per_seed,valid_exact_accuracy,,,,,,,,,,,,,,,,,789,V1_GatedUT_Te2,0.005859,,,,,,
per_seed,valid_token_accuracy,,,,,,,,,,,,,,,,,789,V1_GatedUT_Te2,0.455729,,,,,,
per_seed,valid_greedy_token_accuracy,,,,,,,,,,,,,,,,,789,V1_GatedUT_Te2,0.444336,,,,,,
per_seed,valid_perfect_accuracy,,,,,,,,,,,,,,,,,789,V1_GatedUT_Te2,0.005859,,,,,,
per_seed,valid_mean_distance,,,,,,,,,,,,,,,,,789,V1_GatedUT_Te2,116.6636,,,,,,
per_seed,valid_decode_failure_rate,,,,,,,,,,,,,,,,,789,V1_GatedUT_Te2,0.0,,,,,,
per_seed,samples_per_second,,,,,,,,,,,,,,,,,789,V1_GatedUT_Te2,369.946,,,,,,
per_seed,tokens_per_second,,,,,,,,,,,,,,,,,789,V1_GatedUT_Te2,1109.8,,,,,,
per_seed,elapsed_seconds,,,,,,,,,,,,,,,,,789,V1_GatedUT_Te2,342.63511323928833,,,,,,
per_seed,rss_mb,,,,,,,,,,,,,,,,,789,V1_GatedUT_Te2,745.3125,,,,,,
per_seed,parameter_count,,,,,,,,,,,,,,,,,789,V1_GatedUT_Te2,4131200,,,,,,
per_seed,valid_loss,,,,,,,,,,,,,,,,,0,V2_NACT_Te2,0.938798,,,,,,
per_seed,valid_acc_tau,,,,,,,,,,,,,,,,,0,V2_NACT_Te2,0.983887,,,,,,
per_seed,valid_exact_accuracy,,,,,,,,,,,,,,,,,0,V2_NACT_Te2,0.101074,,,,,,
per_seed,valid_token_accuracy,,,,,,,,,,,,,,,,,0,V2_NACT_Te2,0.69694,,,,,,
per_seed,valid_greedy_token_accuracy,,,,,,,,,,,,,,,,,0,V2_NACT_Te2,0.682454,,,,,,
per_seed,valid_perfect_accuracy,,,,,,,,,,,,,,,,,0,V2_NACT_Te2,0.101074,,,,,,
per_seed,valid_mean_distance,,,,,,,,,,,,,,,,,0,V2_NACT_Te2,6.6875,,,,,,
per_seed,valid_decode_failure_rate,,,,,,,,,,,,,,,,,0,V2_NACT_Te2,0.0,,,,,,
per_seed,samples_per_second,,,,,,,,,,,,,,,,,0,V2_NACT_Te2,96.085,,,,,,
per_seed,tokens_per_second,,,,,,,,,,,,,,,,,0,V2_NACT_Te2,288.3,,,,,,
per_seed,elapsed_seconds,,,,,,,,,,,,,,,,,0,V2_NACT_Te2,1294.1961479187012,,,,,,
per_seed,rss_mb,,,,,,,,,,,,,,,,,0,V2_NACT_Te2,370.59375,,,,,,
per_seed,parameter_count,,,,,,,,,,,,,,,,,0,V2_NACT_Te2,4241288,,,,,,
per_seed,valid_loss,,,,,,,,,,,,,,,,,42,V2_NACT_Te2,0.908885,,,,,,
per_seed,valid_acc_tau,,,,,,,,,,,,,,,,,42,V2_NACT_Te2,0.987793,,,,,,
